pb size, init time, reach time, representation time, LNF time, connectivity time, searching time, total time, nodes expanded, plan length
23, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01, 0.02, 13, 12
23, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.01, 12, 9
23, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01, 0.02, 13, 12
23, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01, 0.02, 12, 13
23, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.01, 14, 12
23, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.01, 17, 18
24, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01, 0.02, 9, 10
24, 0.0, 0.0, 0.0, 0.01, 0.01, 0.0, 0.02, 12, 12
24, 0.0, 0.0, 0.0, 0.01, 0.0, 0.01, 0.02, 12, 13
24, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01, 0.02, 14, 13
24, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.01, 13, 11
24, 0.0, 0.0, 0.0, 0.01, 0.0, 0.02, 0.03, 14, 16
24, 0.0, 0.0, 0.0, 0.01, 0.0, 0.01, 0.02, 12, 13
24, 0.0, 0.0, 0.0, 0.01, 0.0, 0.01, 0.02, 12, 12
24, 0.0, 0.0, 0.0, 0.01, 0.0, 0.01, 0.02, 13, 14
24, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.01, 13, 13
25, 0.0, 0.0, 0.0, 0.01, 0.0, 0.01, 0.02, 12, 13
25, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.01, 14, 14
25, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.01, 12, 12
25, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.01, 8, 8
25, 0.0, 0.0, 0.0, 0.01, 0.0, 0.01, 0.02, 12, 10
25, 0.0, 0.0, 0.0, 0.01, 0.0, 0.01, 0.02, 11, 10
25, 0.0, 0.0, 0.0, 0.01, 0.0, 0.01, 0.02, 12, 12
25, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.01, 15, 15
25, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.01, 11, 10
25, 0.0, 0.0, 0.0, 0.01, 0.0, 0.01, 0.02, 11, 13
26, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.01, 12, 14
26, 0.0, 0.0, 0.0, 0.01, 0.0, 0.01, 0.02, 13, 13
26, 0.0, 0.0, 0.0, 0.01, 0.0, 0.01, 0.02, 12, 12
26, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01, 0.02, 12, 12
26, 0.0, 0.0, 0.0, 0.01, 0.0, 0.01, 0.02, 11, 11
26, 0.0, 0.0, 0.0, 0.01, 0.0, 0.01, 0.02, 16, 15
26, 0.0, 0.0, 0.0, 0.01, 0.0, 0.01, 0.02, 15, 15
26, 0.0, 0.0, 0.0, 0.01, 0.01, 0.0, 0.02, 15, 15
26, 0.0, 0.0, 0.0, 0.01, 0.01, 0.01, 0.03, 12, 14
26, 0.0, 0.0, 0.0, 0.01, 0.0, 0.01, 0.02, 12, 14
27, 0.0, 0.0, 0.0, 0.01, 0.0, 0.01, 0.02, 13, 14
27, 0.0, 0.0, 0.0, 0.01, 0.01, 0.0, 0.02, 13, 12
27, 0.0, 0.0, 0.0, 0.01, 0.01, 0.0, 0.02, 11, 11
27, 0.0, 0.0, 0.0, 0.01, 0.0, 0.01, 0.02, 14, 15
27, 0.0, 0.0, 0.0, 0.01, 0.0, 0.02, 0.03, 14, 14
27, 0.0, 0.0, 0.0, 0.01, 0.0, 0.02, 0.03, 8, 9
27, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.02, 8, 9
27, 0.0, 0.0, 0.0, 0.01, 0.01, 0.0, 0.02, 7, 8
27, 0.0, 0.0, 0.0, 0.01, 0.01, 0.0, 0.02, 15, 16
27, 0.0, 0.0, 0.0, 0.01, 0.01, 0.0, 0.02, 13, 12
28, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.02, 12, 12
28, 0.0, 0.0, 0.0, 0.01, 0.01, 0.0, 0.02, 12, 12
28, 0.0, 0.0, 0.0, 0.01, 0.0, 0.02, 0.03, 14, 14
28, 0.0, 0.0, 0.0, 0.01, 0.0, 0.01, 0.02, 10, 10
28, 0.0, 0.0, 0.0, 0.01, 0.01, 0.0, 0.02, 12, 12
28, 0.0, 0.0, 0.0, 0.01, 0.0, 0.01, 0.02, 14, 14
28, 0.0, 0.0, 0.0, 0.01, 0.01, 0.0, 0.02, 13, 13
28, 0.0, 0.0, 0.0, 0.01, 0.01, 0.0, 0.02, 12, 12
28, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.02, 11, 11
28, 0.0, 0.0, 0.0, 0.01, 0.01, 0.01, 0.03, 14, 14
29, 0.0, 0.0, 0.0, 0.01, 0.0, 0.02, 0.03, 10, 11
29, 0.0, 0.0, 0.0, 0.01, 0.0, 0.01, 0.02, 13, 13
29, 0.0, 0.0, 0.0, 0.01, 0.01, 0.02, 0.04, 18, 19
29, 0.0, 0.0, 0.0, 0.01, 0.01, 0.01, 0.03, 10, 11
29, 0.0, 0.0, 0.0, 0.01, 0.01, 0.0, 0.02, 2, 2
29, 0.0, 0.0, 0.0, 0.01, 0.01, 0.01, 0.03, 14, 13
29, 0.0, 0.0, 0.0, 0.01, 0.01, 0.01, 0.03, 10, 10
29, 0.0, 0.0, 0.0, 0.02, 0.0, 0.01, 0.03, 18, 19
29, 0.0, 0.0, 0.0, 0.01, 0.01, 0.0, 0.02, 11, 12
29, 0.0, 0.0, 0.0, 0.01, 0.0, 0.01, 0.02, 13, 13
30, 0.0, 0.0, 0.0, 0.01, 0.01, 0.0, 0.02, 11, 11
30, 0.0, 0.0, 0.0, 0.01, 0.01, 0.01, 0.03, 15, 14
30, 0.0, 0.0, 0.0, 0.01, 0.01, 0.01, 0.03, 12, 13
30, 0.0, 0.0, 0.0, 0.02, 0.0, 0.01, 0.03, 11, 11
30, 0.0, 0.0, 0.0, 0.01, 0.02, 0.01, 0.04, 12, 13
30, 0.0, 0.0, 0.0, 0.02, 0.0, 0.01, 0.03, 11, 11
30, 0.0, 0.0, 0.0, 0.01, 0.01, 0.0, 0.02, 6, 6
30, 0.0, 0.0, 0.0, 0.01, 0.01, 0.01, 0.03, 11, 12
30, 0.0, 0.0, 0.0, 0.01, 0.0, 0.03, 0.04, 11, 12
30, 0.0, 0.0, 0.0, 0.01, 0.01, 0.01, 0.03, 12, 12
31, 0.0, 0.0, 0.0, 0.02, 0.0, 0.01, 0.03, 13, 14
31, 0.0, 0.0, 0.0, 0.02, 0.0, 0.01, 0.03, 8, 8
31, 0.0, 0.0, 0.0, 0.01, 0.01, 0.0, 0.02, 8, 8
31, 0.0, 0.0, 0.0, 0.02, 0.0, 0.01, 0.03, 12, 13
31, 0.0, 0.0, 0.0, 0.02, 0.0, 0.01, 0.03, 13, 14
31, 0.0, 0.0, 0.0, 0.02, 0.01, 0.01, 0.04, 13, 14
31, 0.0, 0.0, 0.0, 0.02, 0.01, 0.0, 0.03, 9, 10
31, 0.0, 0.0, 0.0, 0.02, 0.0, 0.01, 0.03, 10, 10
31, 0.0, 0.0, 0.0, 0.01, 0.01, 0.0, 0.02, 11, 11
31, 0.0, 0.0, 0.0, 0.01, 0.01, 0.01, 0.03, 13, 14
32, 0.0, 0.0, 0.0, 0.02, 0.0, 0.01, 0.03, 18, 18
32, 0.0, 0.0, 0.0, 0.02, 0.01, 0.0, 0.03, 7, 7
32, 0.0, 0.0, 0.0, 0.02, 0.0, 0.01, 0.03, 16, 16
32, 0.0, 0.0, 0.0, 0.01, 0.01, 0.0, 0.02, 13, 13
32, 0.0, 0.0, 0.0, 0.02, 0.0, 0.01, 0.03, 12, 12
32, 0.0, 0.0, 0.0, 0.01, 0.02, 0.0, 0.03, 13, 13
32, 0.0, 0.0, 0.0, 0.02, 0.0, 0.01, 0.03, 18, 18
32, 0.0, 0.0, 0.0, 0.01, 0.01, 0.01, 0.03, 13, 12
32, 0.0, 0.0, 0.0, 0.02, 0.0, 0.01, 0.03, 11, 10
32, 0.0, 0.0, 0.0, 0.01, 0.01, 0.0, 0.02, 16, 16
33, 0.0, 0.0, 0.0, 0.02, 0.0, 0.01, 0.03, 9, 9
33, 0.0, 0.0, 0.0, 0.01, 0.01, 0.01, 0.03, 15, 15
